SNo,ObservationDate,Province,Country,LastUpdate,Confirmed,Deaths,Recovered
290,5/8/2019,Sichuan,Mainland China,5/8/2019 23:59,90,0,0
291,5/9/2019,Fujian,Mainland China,5/9/2019 23:59,80,0,0
292,5/10/2019,Jiangsu,Mainland China,5/10/2019 23:59,70,0,1
293,5/11/2019,Shanghai,Mainland China,5/11/2019 23:59,66,1,4
294,6/1/2019,Guangxi,Mainland China,6/1/2019 23:59,51,0,2
295,6/2/2019,Shaanxi,Mainland China,6/2/2019 23:59,46,0,0
296,6/3/2019,Yunnan,Mainland China,6/3/2019 23:59,44,0,0
297,6/4/2019,Hainan,Mainland China,6/4/2019 23:59,40,1,0
298,6/5/2019,Liaoning,Mainland China,6/5/2019 23:59,34,0,0
299,6/6/2019,Hebei,Mainland China,6/6/2019 23:59,33,1,0
300,6/7/2019,Heilongjiang,Mainland China,6/7/2019 23:59,33,1,0
301,6/8/2019,Shanxi,Mainland China,6/8/2019 23:59,27,0,0
302,6/9/2019,Tianjin,Mainland China,6/9/2019 23:59,24,0,0
303,6/10/2019,Gansu,Mainland China,6/10/2019 23:59,19,0,0
304,6/11/2019,Inner Mongolia,Mainland China,6/11/2019 23:59,15,0,0
305,6/12/2019,Ningxia,Mainland China,6/12/2019 23:59,11,0,0
306,6/13/2019,Xinjiang,Mainland China,6/13/2019 23:59,10,0,0
307,6/14/2019,Guizhou,Mainland China,6/14/2019 23:59,9,0,0
308,6/15/2019,Jilin,Mainland China,6/15/2019 23:59,8,0,0
309,7/1/2019,Taiwan,Taiwan,7/1/2019 23:59,8,0,0
310,7/2/2019,Hong Kong,Hong Kong,7/2/2019 23:59,8,0,0
311,7/3/2019,Macau,Macau,7/3/2019 23:59,7,0,0
312,7/4/2019,Qinghai,Mainland China,7/4/2019 23:59,6,0,0
313,7/5/2019,Washington,US,7/5/2019 23:59,1,0,0
314,7/6/2019,Illinois,US,7/6/2019 23:59,1,0,0
315,7/7/2019,California,US,7/7/2019 23:59,2,0,0
316,7/8/2019,Arizona,US,7/8/2019 23:59,1,0,0
317,7/9/2019,,Japan,7/9/2019 23:59,7,0,1
318,7/10/2019,,Thailand,7/10/2019 23:59,14,0,6
319,7/11/2019,,South Korea,7/11/2019 23:59,4,0,0
